word,V/C Ratio,S-Score,ULetters
rossa,0.67,5,4
jetty,0.25,15,4
wizzo,0.67,26,4
cuppa,0.67,11,4
cohoe,1.5,10,4
gurks,0.25,10,5
squad,0.67,15,5
beisa,1.5,7,5
shrug,0.25,9,5
fossa,0.67,8,4
fluyt,0.25,11,5
camus,0.67,9,5
speed,0.67,8,4
mamil,0.67,9,4
array,0.67,8,3
polio,1.5,7,4
barns,0.25,7,5
panes,0.67,7,5
souts,0.67,5,4
limas,0.67,7,5
fetch,0.25,13,5
queck,0.67,20,5
twink,0.25,12,5
graze,0.67,15,5
crock,0.25,13,4
almud,0.67,8,5
oohed,1.5,9,4
colog,0.67,8,4
wisht,0.25,11,5
beard,0.67,8,5
samel,0.67,7,5
ahind,0.67,9,5
brung,0.25,8,5
barca,0.67,9,4
mahal,0.67,10,4
jambe,0.67,16,5
plush,0.25,10,5
bruja,0.67,14,5
howre,0.67,11,5
middy,0.25,12,4
kabab,0.67,13,3
zeals,0.67,14,5
mazel,0.67,16,5
sputa,0.67,7,5
goory,0.67,9,4
pails,0.67,7,5
scogs,0.25,8,4
snool,0.67,5,4
poboy,0.67,12,4
doest,0.67,6,5
orixa,1.5,12,5
quipo,1.5,16,5
burbs,0.25,9,4
goads,0.67,7,5
blaud,0.67,8,5
flocs,0.25,10,5
harim,0.67,10,5
mamey,0.67,12,4
primp,0.25,11,4
lathy,0.25,11,5
lunes,0.67,5,5
staps,0.25,7,4
salad,0.67,6,4
agony,0.67,9,5
gusli,0.67,6,5
damps,0.25,10,5
tocks,0.25,11,5
hoick,0.67,14,5
marry,0.25,10,4
amply,0.25,12,5
glisk,0.25,10,5
pulis,0.67,7,5
apter,0.67,7,5
shell,0.25,8,4
capas,0.67,9,4
saunf,0.67,8,5
kutis,0.67,9,5
teggs,0.25,7,4
halsh,0.25,11,4
gamma,0.67,10,3
tardy,0.25,9,5
tease,1.5,5,4
towts,0.25,8,4
abuts,0.67,7,5
allee,1.5,5,3
chins,0.25,10,5
rolly,0.25,8,4
situs,0.67,5,4
bards,0.25,8,5
phyma,0.25,15,5
torrs,0.25,5,4
chace,0.67,12,4
bikky,0.25,18,4
stoor,0.67,5,4
quink,0.67,18,5
wedgy,0.25,13,5
vises,0.67,8,4
swore,0.67,8,5
upsee,1.5,7,4
gyves,0.25,12,5
heapy,0.67,13,5
gilas,0.67,6,5
gairs,0.67,6,5
yonic,0.67,10,5
wagon,0.67,9,5
rance,0.67,7,5
swail,0.67,8,5
laxed,0.67,13,5
panne,0.67,7,4
tabus,0.67,7,5
anomy,0.67,10,5
swarm,0.25,10,5
sword,0.25,9,5
pharm,0.25,12,5
penes,0.67,7,4
snoek,0.67,9,5
razet,0.67,14,5
nahal,0.67,8,4
kapus,0.67,11,5
lokey,0.67,12,5
gobos,0.67,8,4
jails,0.67,12,5
afars,0.67,8,4
nerka,0.67,9,5
cundy,0.25,11,5
snark,0.25,9,5
intra,0.67,5,5
bundh,0.25,11,5
tanga,0.67,6,4
baaed,1.5,8,4
solus,0.67,5,4
senor,0.67,5,5
umami,1.5,9,4
wared,0.67,9,5
sharp,0.25,10,5
pewed,0.67,11,4
tuktu,0.67,9,3
knowd,0.25,13,5
dawds,0.25,10,4
flurr,0.25,8,4
inert,0.67,5,5
taxus,0.67,12,5
ruana,1.5,5,4
sulci,0.67,7,5
jaded,0.67,14,4
othyl,0.25,11,5
redig,0.67,7,5
manky,0.25,14,5
ovism,0.67,10,5
matlo,0.67,7,5
cease,1.5,7,4
perae,1.5,7,4
sixes,0.67,12,4
pubco,0.67,11,5
yappy,0.25,15,3
famed,0.67,11,5
hexed,0.67,16,4
bawrs,0.25,10,5
decry,0.25,11,5
iddah,0.67,10,4
dixit,0.67,13,4
cased,0.67,8,5
rupia,1.5,7,5
toidy,0.67,9,5
hodad,0.67,10,4
yukes,0.67,12,5
gaffe,0.67,12,4
annoy,0.67,8,4
leugh,0.67,9,5
howay,0.67,14,5
pixel,0.67,14,5
linga,0.67,6,5
bayou,1.5,10,5
lurgy,0.25,9,5
lears,0.67,5,5
scrat,0.25,7,5
prize,0.67,16,5
homes,0.67,10,5
scroo,0.67,7,4
egest,0.67,6,4
mopus,0.67,9,5
verbs,0.25,10,5
maple,0.67,9,5
barfs,0.25,10,5
judge,0.67,14,5
salle,0.67,5,4
shine,0.67,8,5
zineb,0.67,16,5
flexo,0.67,15,5
gismo,0.67,8,5
rears,0.67,5,4
khads,0.25,13,5
begum,0.67,10,5
glade,0.67,7,5
